"Page URL","Link Text","Broken Link"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/circle-and-rectangle-art-indigenous-residential-schools-and-dynamics-oppression-and-healing","here","https://www.kentmonkman.com/painting/2017/1/20/the-scream"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/circle-and-rectangle-art-indigenous-residential-schools-and-dynamics-oppression-and-healing","here.","https://www.cbc.ca/radio/q/wednesday-sept-25-2019-thom-yorke-gina-laing-and-more-1.5295519/what-paintings-by-residential-school-survivors-can-teach-us-about-trauma-resilience-and-the-power-of-art-1.5295700"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/leading-scholars-2018-20","Peter A. Allard School of Law","http://www.allard.ubc.ca/faculty-staff/toby-s-goldbach"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/leading-scholars-2018-20","Engineering (UBC-Okanagan)","https://engineering.ok.ubc.ca/about/contact/kevin-golovin/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/leading-scholars-2018-20","Art History, Visual Art and Theory","https://ahva.ubc.ca/persons/ateya-khorakiwala/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/leading-scholars-2018-20","Botany and Zoology","http://www.zoology.ubc.ca/person/mtseng"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/advisory-board","“Entropy: A Walk in the Woods”","https://nocturnehalifax.ca/projects/kaleidoscope/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/challenging-differences-interdisciplinarity-large","Anne Murphy","https://asia.ubc.ca/persons/anne-murphy/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/shifting-tradition-dr-imogen-coe","https://www.ryerson.ca/edistem/","https://www.ryerson.ca/edistem/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/putting-food-table-kelsey-huus-gut-bacteria-and-grad-student","The Afribiota Project","https://research.pasteur.fr/en/program_project/the-afribiota-project/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/social-distancing-tips-and-tricks-mairi-stirling-hill-gc-resident-member-and-blog-writer","Coffee Break Languages","https://radiolingua.com/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/meet-patrick-rizzotti-assistant-professor-design-and-production-theatre-film-green-college","HIR by Taylor Mac","https://www.pitheatre.com/hir"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/meet-patrick-rizzotti-assistant-professor-design-and-production-theatre-film-green-college","Pi’s website","https://www.pitheatre.com/hir"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/sights-and-sounds-mehfil-dhrupad-experience-green-college","Anne Murphy","https://asia.ubc.ca/profile/anne-murphy/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/sights-and-sounds-mehfil-dhrupad-experience-green-college","Akhil Dattani-Jobanputra","https://cisar.iar.ubc.ca/person/akhil-dattani-jobanputra/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/choosing-sides-look-back-2019-canadian-federal-election","Humboldt Foundation","https://www.humboldt-foundation.de/web/home.html"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/meet-alexandra-flynn-assistant-professor-peter-allard-school-law-green-college-leading-scholar","Peter A. Allard School of Law","http://www.allard.ubc.ca/faculty-staff/alexandra-flynn"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/meet-yankai-cao-assistant-professor-chemical-and-biological-engineering-green-college-leading","Chemical and Biological Engineering","https://www.chbe.ubc.ca/profile/yankai-cao/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/interview-gc-resident-member-jane-kuznetsova","https://www.nyi.spb.ru/","https://www.nyi.spb.ru/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/path-glory","https://www.ubcsquash.com/","https://www.ubcsquash.com/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/blog/propaganda-old-and-new-greg-woolf-compares-rhetoric-augustus-and-vladimir-putin","https://history.ucla.edu/faculty/greg-woolf","http://https//history.ucla.edu/faculty/greg-woolf"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2001","Green College Resident Members' Series","http://www.greencollege.ubc.ca/whats_on/index/main3/events/category19.php"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2002","www.greencollege.ubc.ca/join_us_for_dinner/index.php","http://www.greencollege.ubc.ca/join_us_for_dinner/index.php"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2003","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2004","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2005","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2006","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2007","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2008","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2009","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2010","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2011","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2012","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2013","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2014","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2015","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2016","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2017","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2018","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2019","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2020","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2021","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2022","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2023","http://www.vaclavsmil.com","http://www.vaclavsmil.com/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2023","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2024","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2025","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=101"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2025","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2026","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=99"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2026","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2027","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=105"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2027","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2028","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=103"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2028","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2029","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=109"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2029","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2030","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=107"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2030","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2031","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2032","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2033","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2034","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2035","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2036","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2037","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2038","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2039","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2040","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2041","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2042","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2043","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2044","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2045","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2046","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2047","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2048","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2049","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2050","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2051","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2052","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2053","“Getting Under Their Skins” - Sunday, October 25 at 10:30 a.m.","https://www.writersfest.bc.ca/2015/events/83-getting-under-their-skins"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2053","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2054","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2055","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2056","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2057","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2058","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2059","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2060","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2061","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2062","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2063","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2064","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2065","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2066","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2067","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2068","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2069","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2070","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2071","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2072","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2073","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2074","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2075","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2076","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2077","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2078","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2079","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2080","Click here","http://mediasitemob1.mediagroup.ubc.ca/Mediasite/Play/9f74ba8fd1824d199127b3be1356533a1d"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2081","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2082","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2083","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2084","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2085","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2086","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2087","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2088","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2089","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2090","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2091","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2092","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2093","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2094","here","https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/civicrm/event/info?reset=1&id=109"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2094","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2095","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2096","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2097","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2098","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2099","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2100","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2101","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2102","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2103","here","https://www.greencollege.ubc.ca/sites/default/files/civicrm/persist/contribute/files/The%20Fantasy%20of%20Social%20Justice%20-%20Conference%20Schedule.pdf"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2104","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2105","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2106","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2108","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2109","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2110","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2111","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2112","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2113","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2114","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2115","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2117","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2118","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2119","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2120","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2121","here","https://learning.video.ubc.ca/media/Episode+1+-+Green+College+Access+to+Justice+Podcast+-+%22Why+Don%27t+We+Have+Appropriate+Access+to+JusticeF%22/0_1nf99lgs"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2121","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2122","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2123","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2124","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2125","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2126","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2127","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2128","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2129","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2130","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2131","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2132","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2133","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2134","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2135","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2136","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2137","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2138","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2139","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2140","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2141","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2142","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2143","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
"https://master-7rqtwti-vp7y2mqabylnu.ca-1.platformsh.site/node/2144","Support Green College","https://startanevolution.ubc.ca/projects/supporting-green-college/"
